School,G,W,L,W-L%,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Season
Drake,36,25,11,0.694,7.34,1.04,2660,2391,66.4,109,0.28,0.346,0.552,52.1,43.6,10.3,9.5,0.52,13.9,29.5,0.211,2021
Drexel,29,15,14,0.517,-0.29,-1.9,2112,2038,68,106.1,0.253,0.354,0.549,50.2,45.5,6.9,7.5,0.525,14.1,25.3,0.18,2021
Duke NCAA,39,32,7,0.821,19.55,7.26,3122,2643,68.2,117,0.286,0.357,0.583,52.8,55.4,9.3,13.4,0.557,13,31.6,0.211,2021
Duquesne,30,6,24,0.2,-6.34,1.86,1956,2202,66.9,95.9,0.219,0.333,0.481,47.4,40.4,9.8,10.8,0.454,14.5,29.3,0.155,2021
East Carolina,30,15,15,0.5,0.49,2.66,2063,2128,68.9,99,0.335,0.392,0.516,49.3,63.1,9.7,9,0.471,16.3,27.5,0.253,2021
East Tennessee State,32,15,17,0.469,-2.76,-0.36,2306,2336,66.6,107.8,0.229,0.417,0.541,50,49.2,10.1,8.7,0.517,14.5,31.3,0.166,2021
Eastern Illinois,31,5,26,0.161,-21.07,-3.97,1746,2205,66.6,84.6,0.315,0.362,0.485,44.4,58.9,9.5,9.2,0.457,21.6,21.7,0.201,2021
Eastern Kentucky,31,13,18,0.419,-6.75,-5.38,2457,2327,73,106.5,0.213,0.484,0.525,47.5,54.7,13.7,10.1,0.503,13.3,29.7,0.151,2021
Eastern Michigan,31,10,21,0.323,-10.86,-3.03,2143,2356,70.7,95.4,0.303,0.35,0.516,47.7,40.2,8.1,8.1,0.485,17.1,23,0.211,2021
Eastern Washington,34,18,16,0.529,-5.2,-5.14,2613,2536,71.6,106.5,0.333,0.428,0.565,51.7,59.3,7.7,7.8,0.528,16.3,26.7,0.251,2021
Elon,32,10,22,0.313,-6.15,1.39,2147,2311,67.3,99.8,0.258,0.443,0.531,48.5,52.3,7.2,7.2,0.501,17.1,25.8,0.19,2021
Evansville,30,6,24,0.2,-10.95,1.4,1775,2122,64.2,90.3,0.243,0.47,0.503,43.8,50.2,9.1,5.8,0.475,16,14.3,0.172,2021
Fairfield,33,15,18,0.455,-3.88,-4.09,2239,2177,65.5,102.5,0.261,0.391,0.527,50.2,48,8.2,7.8,0.5,14.6,27.8,0.184,2021
FDU,26,4,22,0.154,-18.13,-6.21,1748,2058,70.4,94.6,0.278,0.354,0.497,46.1,48.6,9.1,7.6,0.464,16.9,27.7,0.197,2021
Florida,34,20,14,0.588,11.93,7.84,2400,2261,66.8,104.9,0.338,0.458,0.534,49,52.7,12.4,13.5,0.496,15.8,31.5,0.248,2021
Florida A&M,30,13,17,0.433,-12.05,-6.7,1952,2064,67.3,95.9,0.289,0.265,0.502,46.7,49.1,9.2,8.5,0.468,16.2,26.2,0.204,2021
Florida Atlantic,34,19,15,0.559,2.63,-1.82,2519,2315,68.7,107.4,0.284,0.424,0.554,53.1,50.1,10.7,7.8,0.527,16.1,31.5,0.203,2021
Florida Gulf Coast,34,22,12,0.647,-3.07,-4.91,2641,2505,70.3,108.1,0.289,0.477,0.558,52.6,56.6,9.3,12.3,0.537,16.2,31.1,0.195,2021
Florida International,32,15,17,0.469,-6.47,-3.27,2264,2274,69,100.6,0.248,0.465,0.535,48.9,54.5,9.1,11.1,0.511,17.4,27,0.174,2021
Florida State,31,17,14,0.548,6.39,7.32,2201,2230,68.6,102.7,0.303,0.341,0.522,49.8,55.7,12.3,14.8,0.49,15.5,31.6,0.214,2021
Fordham,32,16,16,0.5,-0.89,-0.2,2115,2137,68.6,94.8,0.297,0.427,0.496,49.9,51.4,10.5,9.9,0.457,16.5,27,0.216,2021
Fresno State,36,23,13,0.639,8.36,1.94,2384,2139,62.4,104.2,0.311,0.387,0.542,52.8,50.4,9.6,9.4,0.511,15.5,27.7,0.221,2021
Furman,34,22,12,0.647,6.2,-1.44,2640,2336,66.1,115,0.226,0.517,0.585,49.8,62.5,12.2,9.7,0.562,13.7,27.7,0.171,2021
Gardner-Webb,31,18,13,0.581,-2.35,-4.43,2154,1989,69.7,99.7,0.287,0.396,0.536,52,52.2,10.4,14.6,0.509,17.2,25.3,0.201,2021
George Mason,30,14,16,0.467,4.18,1.98,2122,2056,66.6,104,0.291,0.465,0.553,51.3,56.5,7.4,9.7,0.529,16.1,25,0.202,2021
George Washington,30,12,18,0.4,-4.07,0.4,2051,2185,69.7,96.9,0.26,0.358,0.516,46.2,48.5,9.8,10.5,0.489,16,23.2,0.181,2021
Georgetown,31,6,25,0.194,1.71,8.03,2192,2388,71,99.5,0.29,0.36,0.501,50.1,47.5,10.1,10.9,0.462,15.9,32.3,0.216,2021
Georgia,32,6,26,0.188,-0.63,8.06,2234,2512,69.8,100,0.39,0.37,0.546,48.4,58.2,7.5,5.9,0.502,18.4,25.6,0.292,2021
Georgia Southern,29,13,16,0.448,-7.04,-3.04,1927,1903,67.1,98.1,0.303,0.35,0.527,50,48.6,11,10.1,0.5,18.5,28.6,0.206,2021
Georgia State NCAA,29,18,11,0.621,-1.11,-1.34,2049,1906,68.6,101.7,0.295,0.371,0.498,50.7,54.2,12.7,12.8,0.461,14.1,33.9,0.213,2021
Georgia Tech,32,12,20,0.375,2.24,6.08,2195,2264,68.6,98.4,0.247,0.346,0.527,49,53.2,11.2,7.2,0.502,16.7,25.7,0.172,2021
Gonzaga NCAA,32,28,4,0.875,25.46,4.5,2790,2119,73.8,118.1,0.306,0.353,0.608,55.7,55.3,8.7,13.4,0.587,13.9,29.1,0.219,2021
Grambling,32,12,20,0.375,-12.35,-5.08,2092,2273,70.5,92.8,0.33,0.281,0.491,48.2,46.7,9.4,9.1,0.451,17.6,27.9,0.234,2021
Grand Canyon,31,23,8,0.742,5.81,-2.57,2204,1898,67.7,105,0.31,0.395,0.527,54.1,50.5,9.8,5.9,0.5,16.2,34.7,0.21,2021
Green Bay,30,5,25,0.167,-13.89,-5.44,1852,2068,64.9,95.1,0.316,0.347,0.505,48.4,48.2,7.7,7.9,0.468,17.4,27.3,0.226,2021
Hampton,28,9,19,0.321,-13.54,-6,1814,1946,69.2,92.8,0.361,0.349,0.493,46.6,46.5,7.4,10.3,0.451,16,23.1,0.253,2021
Hartford,32,12,20,0.375,-10.03,-7.69,2234,2309,67.1,103.7,0.276,0.452,0.555,48.3,48.8,9,8.8,0.533,16.2,23.8,0.191,2021
Harvard,26,13,13,0.5,-4.68,-4.2,1858,1797,69.7,101.1,0.263,0.428,0.528,49.8,43.6,10.8,7.3,0.503,15.4,25.4,0.182,2021
Hawaii,28,17,11,0.607,-0.52,-3.06,1928,1796,66.2,104.1,0.325,0.42,0.552,53.4,51.6,5.3,5.5,0.516,17.3,29.1,0.242,2021
High Point,32,14,18,0.438,-6.53,-3.39,2225,2232,67.7,100,0.343,0.34,0.523,49.6,49.5,9.3,12.7,0.499,16.7,28.3,0.219,2021
Hofstra,32,21,11,0.656,1.8,-0.6,2494,2333,70.5,109.7,0.209,0.447,0.566,48.2,53.3,11.2,8,0.539,13,23.7,0.166,2021
Holy Cross,31,9,22,0.29,-16.84,-7.87,2022,2192,67.9,96.1,0.281,0.294,0.497,48.9,42.5,8.7,9.9,0.464,16,27.6,0.199,2021
Houston NCAA,38,32,6,0.842,22.55,6.47,2844,2233,65,113.9,0.29,0.389,0.551,54.9,58.5,12.2,17.1,0.531,14.1,37.7,0.193,2021
Houston Christian,29,11,18,0.379,-14.47,-6.71,2190,2220,72.2,102.9,0.383,0.363,0.542,52.5,51.2,10.8,6.9,0.504,17.8,31.9,0.272,2021
Howard,29,16,13,0.552,-6.76,-8.53,2215,2019,73.4,103.6,0.351,0.395,0.549,48.3,55.1,11.4,9.2,0.51,17.5,28.9,0.262,2021
Idaho,31,9,22,0.29,-13.19,-4.78,2263,2468,71.3,101.5,0.351,0.378,0.55,49,47.4,4.9,5.5,0.512,17,23.6,0.258,2021
Idaho State,30,7,23,0.233,-14.96,-5.28,1931,2146,65.9,97.2,0.339,0.425,0.517,49.9,46.5,6.8,6.3,0.484,18.2,28.8,0.232,2021
Illinois NCAA,33,23,10,0.697,16.69,9.48,2456,2218,67.9,108.8,0.32,0.426,0.554,53.8,58.1,7.6,7.1,0.525,15.5,33.1,0.226,2021
Illinois State,33,13,20,0.394,-0.78,0.74,2447,2466,69.2,104.4,0.314,0.366,0.553,50.3,46.7,9.6,12.5,0.518,17,28.5,0.234,2021
Illinois-Chicago,30,14,16,0.467,-8.78,-6.37,2159,2188,69.4,102.4,0.228,0.461,0.537,48.5,55.3,8.2,9.4,0.514,15.2,24.6,0.161,2021
Incarnate Word,32,7,25,0.219,-17.03,-4.34,2145,2445,68.4,97.9,0.284,0.448,0.533,45.6,50.2,7.6,4.8,0.494,17.7,23.6,0.223,2021
Indiana NCAA,35,21,14,0.6,12.71,8.08,2478,2316,67.9,103.2,0.335,0.311,0.538,51.8,56.6,8.2,14.1,0.506,15.2,27,0.234,2021
Indiana State,31,11,20,0.355,-3.49,1.94,2184,2230,69.4,99.4,0.264,0.46,0.552,49.3,52.3,8.5,5.1,0.518,17.1,18.6,0.206,2021
Iona,33,25,8,0.758,5.47,-1.14,2482,2264,70.2,106.3,0.372,0.361,0.54,51.2,61,9.3,15.3,0.507,15.4,31.8,0.258,2021
Iowa NCAA,36,26,10,0.722,18.9,6.87,2995,2562,70.3,117.5,0.3,0.393,0.564,51,53.9,10.4,11.3,0.533,11.1,32.2,0.225,2021
Iowa State NCAA,35,22,13,0.629,12.38,9.33,2296,2189,67.2,96.9,0.271,0.377,0.517,49.3,60.4,12.6,9.8,0.491,17.9,28.4,0.185,2021
IU Indy,29,3,26,0.103,-23.61,-6.5,1521,1947,63.4,82.7,0.264,0.348,0.461,49,54.4,9,8.4,0.43,22.6,31.1,0.176,2021
Jackson State,30,11,19,0.367,-10.1,-5.6,1829,1964,65.9,92.1,0.265,0.304,0.477,51,46.8,9.2,10.2,0.453,17.1,31.4,0.168,2021
Jacksonville,31,21,10,0.677,-2.06,-5.21,2081,1839,63.1,106,0.297,0.316,0.535,55.7,50.4,10.3,6.8,0.505,15.3,33.6,0.21,2021
Jacksonville State NCAA,32,21,11,0.656,-0.19,-3.79,2353,2151,66.9,108.6,0.308,0.428,0.571,52.9,54.7,9.2,8.8,0.549,16.9,29.5,0.212,2021
James Madison,29,15,14,0.517,-4.13,-1.1,2178,2123,70.5,105.1,0.293,0.359,0.55,48.2,48.3,11.9,6.5,0.525,15.4,26.9,0.204,2021
Kansas NCAA,40,34,6,0.85,22.28,11.3,3129,2690,69.5,111.5,0.323,0.331,0.567,53.4,53.6,8.9,10.9,0.538,14.9,32.9,0.232,2021
Kansas City,31,19,12,0.613,-5.49,-5.23,2311,2085,70.2,106.2,0.311,0.344,0.563,48.5,48,10.6,8.3,0.541,13.7,20.4,0.21,2021
Kansas State,31,14,17,0.452,10.61,9.06,2139,2091,67.4,101.5,0.296,0.424,0.527,48.1,51.6,10.8,4.9,0.494,14.9,25.3,0.215,2021
Kennesaw State,31,13,18,0.419,-4.51,-2.62,2319,2206,68.3,107.7,0.297,0.385,0.553,51.7,52.5,10.3,8.3,0.533,15.5,30.9,0.197,2021
Kent State,34,23,11,0.676,-0.13,-3.07,2423,2217,67.5,105.6,0.32,0.4,0.544,53.1,49.6,10.5,11.4,0.508,15.7,31.2,0.239,2021
Kentucky NCAA,34,26,8,0.765,20.9,8.02,2701,2263,69.2,114,0.28,0.279,0.559,56.9,53.3,9.7,11.1,0.531,14,37.7,0.203,2021
La Salle,30,11,19,0.367,-3.5,0.54,2025,2146,68.4,97.4,0.251,0.399,0.504,50,54,8.5,11.5,0.477,16.4,28.9,0.173,2021
Lafayette,30,10,20,0.333,-12.6,-6.67,2034,2185,66,100.7,0.215,0.458,0.527,46.2,64.1,9.3,9,0.508,14.6,22.9,0.147,2021
Lamar,29,2,27,0.069,-15.86,-2.6,1778,2116,67.5,90.8,0.262,0.307,0.478,49.1,48.3,8.6,9.1,0.447,18.5,30.2,0.18,2021
Lehigh,32,13,19,0.406,-10.82,-7.56,2190,2284,68.8,99.1,0.256,0.382,0.548,48.8,56.9,6.4,8.1,0.52,17.6,21.1,0.19,2021
Liberty,33,22,11,0.667,1.86,-4.01,2421,2094,66,110.3,0.278,0.495,0.594,52.2,57.1,8.1,5.9,0.567,15.8,23,0.21,2021
Lipscomb,33,14,19,0.424,-8.42,-3.29,2442,2536,71.2,104,0.351,0.417,0.563,49.8,59.1,6.2,7,0.529,16.4,23.1,0.255,2021
Little Rock,28,9,19,0.321,-12.05,-0.73,1868,2047,68,96.4,0.325,0.379,0.524,47.3,55.9,10,6.3,0.485,17.8,24.6,0.239,2021
Long Beach State,33,20,13,0.606,-0.65,0.35,2437,2409,71.7,101.9,0.386,0.319,0.535,50.5,48.9,9.7,8.6,0.492,16.1,27.8,0.281,2021
Long Island University,30,16,14,0.533,-7.62,-7.03,2245,2204,73.3,101.2,0.297,0.4,0.519,50.6,62.6,10.4,13.4,0.491,15.9,30.4,0.202,2021
Longwood NCAA,33,26,7,0.788,-0.35,-6.11,2499,2170,67.8,110.8,0.345,0.369,0.556,54.8,53.2,11.4,7.7,0.521,15.1,34.2,0.251,2021
Louisiana,31,16,15,0.516,-2.71,-2.91,2203,2151,70.5,100,0.352,0.368,0.527,53.4,50.1,9.6,11.1,0.491,18.5,33.3,0.247,2021
Louisiana State NCAA,34,22,12,0.647,17.45,8.3,2467,2156,70.4,102.3,0.334,0.348,0.531,51.5,49,15.5,14.6,0.493,17.7,33.9,0.244,2021
Louisiana Tech,34,24,10,0.706,5.23,0.11,2558,2312,70,107.4,0.314,0.413,0.556,50.3,51,9.3,6,0.525,14.6,26.5,0.227,2021
Louisiana-Monroe,31,13,18,0.419,-8.7,-2.59,2246,2304,69.7,102.6,0.261,0.351,0.541,46.7,55.5,10.2,7.9,0.514,16,25.8,0.189,2021
Louisville,32,13,19,0.406,4.23,7.01,2154,2243,67.5,98.9,0.251,0.422,0.511,50.8,48.1,9,6.8,0.488,15.7,27.3,0.169,2021
Loyola (IL) NCAA,33,25,8,0.758,13.39,2.93,2403,2029,65.7,109.2,0.313,0.431,0.583,52.1,57.5,10.4,7.3,0.558,16.4,25.1,0.223,2021
Loyola (MD),30,14,16,0.467,-8.4,-7.95,1984,1970,66.7,98.3,0.245,0.384,0.526,49,60,11.6,8,0.504,17.2,24.7,0.168,2021
Loyola Marymount,29,11,18,0.379,-1.93,3.25,2010,2148,67.5,101.8,0.32,0.385,0.552,47.9,45,8,4.9,0.521,17.5,24.7,0.23,2021
Maine,29,6,23,0.207,-18.38,-5.34,1811,2063,66.6,93.8,0.209,0.385,0.498,46.9,56.4,10.8,7.9,0.473,16.8,25,0.148,2021
Manhattan,30,15,15,0.5,-7.64,-3.85,2126,2179,69.5,100.8,0.407,0.332,0.537,49.7,47.4,10.2,8.8,0.491,18,30.2,0.3,2021
Marist,30,14,16,0.467,-4.26,-4.86,2063,2045,66.9,101.5,0.25,0.377,0.531,50,35.3,8.6,9.8,0.504,16,26.4,0.18,2021
Marquette NCAA,32,19,13,0.594,11.36,8.96,2369,2292,71.6,102.7,0.262,0.418,0.55,46.9,59.3,10.8,12.9,0.521,15.5,22.5,0.194,2021
Marshall,33,12,21,0.364,-4.57,0.14,2442,2523,73.3,100.9,0.238,0.394,0.521,49.3,51.3,9.2,11.9,0.495,15.6,27.8,0.168,2021
Maryland,32,15,17,0.469,9.34,9.12,2270,2263,67.4,104.4,0.339,0.372,0.536,50.1,47.1,9.4,8.7,0.494,14.7,27.3,0.257,2021
Maryland-Baltimore County,32,18,14,0.563,-6.06,-6.51,2359,2307,68.8,106.7,0.306,0.425,0.562,47.5,48.7,6.9,5.3,0.524,14.3,21.9,0.24,2021
Maryland-Eastern Shore,27,11,16,0.407,-13.1,-7.14,1778,1792,70.1,93.1,0.305,0.426,0.497,49.4,53.2,14.2,6.8,0.471,18.9,29.4,0.197,2021
Massachusetts,32,15,17,0.469,-0.67,1.7,2422,2498,69.2,108.1,0.328,0.431,0.551,49,53.1,9.2,6.8,0.513,14.4,29.3,0.248,2021
Massachusetts-Lowell,31,15,16,0.484,-7.08,-6.65,2191,2040,68.9,101.8,0.264,0.32,0.521,50.8,43.6,10.5,11,0.494,15.5,29.5,0.185,2021
McNeese State,33,11,22,0.333,-11.76,-5.04,2579,2555,74.2,103,0.366,0.329,0.53,53.9,44.8,10.3,9,0.502,18.1,36.1,0.241,2021
Memphis NCAA,33,22,11,0.667,14.67,7.86,2480,2255,71,105.8,0.378,0.304,0.555,54.3,58.7,11.8,16.2,0.523,19.1,37.4,0.262,2021
Mercer,33,16,17,0.485,-3.41,-1.15,2325,2328,66.3,105.5,0.288,0.422,0.565,50.6,57.1,9.2,8.9,0.531,16.5,25.3,0.221,2021
Merrimack,30,14,16,0.467,-10.86,-6.82,1843,1931,64,95.2,0.262,0.404,0.512,42.9,51.4,14,11.4,0.488,16.4,22.2,0.177,2021
Miami (FL) NCAA,37,26,11,0.703,11.22,7.62,2736,2603,67.8,108.6,0.288,0.355,0.563,46.4,51.7,13,9,0.533,12.7,22.4,0.214,2021
Miami (OH),32,14,18,0.438,-6.35,-4.14,2408,2351,68.9,108.3,0.241,0.426,0.546,48.7,50.6,8,9.1,0.513,13.1,27.2,0.19,2021
Michigan NCAA,34,19,15,0.559,14.26,11.02,2470,2360,67.5,107.7,0.294,0.321,0.554,54.1,52.6,7,8.6,0.521,15.1,31,0.219,2021
Michigan State NCAA,36,23,13,0.639,13.18,9.96,2601,2485,67.9,106.4,0.299,0.337,0.553,53,60.2,8.4,13.6,0.52,16.3,30.7,0.224,2021
Middle Tennessee,37,26,11,0.703,4.5,-1.16,2771,2486,68.2,107.6,0.336,0.427,0.558,51,47.8,11.5,12,0.521,16.1,30.3,0.254,2021
Milwaukee,32,10,22,0.313,-13.19,-6.32,2073,2264,68,95.3,0.27,0.348,0.509,49.3,48,7.2,10.4,0.477,17.2,25.9,0.194,2021
Minnesota,30,13,17,0.433,5.93,8.13,2010,2076,65.5,101.5,0.236,0.374,0.532,45,50.9,8.1,7.3,0.507,12.7,17.5,0.17,2021
Mississippi,32,13,19,0.406,6.72,7.25,2180,2197,67,100.5,0.287,0.373,0.526,49.4,53.2,10.5,7.8,0.496,15.9,26.7,0.204,2021
Mississippi State,34,18,16,0.529,11.83,7.6,2396,2252,66.6,104.6,0.381,0.281,0.536,54.3,52.9,11.7,10.3,0.496,16.7,34.1,0.274,2021
Mississippi Valley State,28,2,26,0.071,-22.15,-6.4,1882,2323,72.6,90.5,0.313,0.379,0.476,42.4,48.7,10,6,0.444,15.9,23.3,0.205,2021
Missouri,33,12,21,0.364,2.94,9.1,2160,2325,67.4,96.8,0.3,0.328,0.51,51.2,50.5,9.6,11.2,0.472,18.3,32,0.221,2021
Missouri State,34,23,11,0.676,8.29,1.05,2628,2342,68.1,112.7,0.277,0.382,0.587,52.2,43.3,7.8,9.2,0.553,13.9,25.1,0.221,2021
Monmouth,34,21,13,0.618,-0.39,-1.68,2333,2289,67.1,101.5,0.369,0.34,0.518,50.9,49.6,9.3,9.9,0.475,15,29.4,0.269,2021
Montana,32,18,14,0.563,-6.48,-6.21,2310,2141,67.5,106.5,0.362,0.366,0.563,47.5,52.9,8.1,7.7,0.517,13.8,19.5,0.284,2021
Montana State NCAA,35,27,8,0.771,-0.26,-5.54,2679,2425,69.5,108.9,0.384,0.373,0.58,53.1,50.1,7.4,10.1,0.541,16.3,27.3,0.289,2021
Morehead State,34,23,11,0.676,0.79,-3.43,2379,2158,66.6,104.7,0.284,0.413,0.551,52.6,62.9,8.8,14.7,0.53,17.5,31.2,0.189,2021
Morgan State,28,13,15,0.464,-12.62,-8.12,2100,2025,75.7,98.6,0.323,0.311,0.516,50.4,53.7,11.1,9.9,0.486,17.5,31.4,0.219,2021
Mount St. Mary's,30,14,16,0.467,-8.2,-7.2,1984,1958,65.3,100.5,0.263,0.305,0.521,51.5,53.1,8.7,10.8,0.496,16.9,31.4,0.181,2021
Murray State NCAA,34,31,3,0.912,9.87,-3.07,2690,2150,68.3,115.5,0.325,0.377,0.567,55.5,51.2,11.4,9.5,0.542,14.1,35.8,0.225,2021
Navy,32,21,11,0.656,-2.94,-6.36,2079,1924,64.7,99.7,0.302,0.315,0.507,54.3,50.9,10.8,10.4,0.481,16.7,33.7,0.198,2021
NC State,32,11,21,0.344,3.77,6.37,2336,2419,67.9,105.4,0.291,0.392,0.514,48.1,43.9,10.2,9.6,0.479,12.4,30.2,0.211,2021
Nebraska,32,10,22,0.313,3,8.25,2345,2513,72,99.8,0.333,0.374,0.54,45.2,49,9.8,7.2,0.503,15.6,20.5,0.244,2021
Nevada,31,13,18,0.419,3.71,6.07,2249,2284,71.2,101.8,0.321,0.363,0.546,50.2,56.5,9,10,0.51,16.6,24.5,0.24,2021
Nevada-Las Vegas,32,18,14,0.563,7.2,4.58,2236,2099,67,104.3,0.301,0.425,0.531,50.8,56.5,9.1,8.6,0.496,14.5,27.1,0.222,2021
New Hampshire,28,15,13,0.536,-6.32,-7.21,1925,1819,63.6,108.2,0.252,0.412,0.536,53.1,48.2,7.3,8.6,0.515,12.4,28.8,0.169,2021
New Mexico,32,13,19,0.406,1.25,4.32,2376,2411,71.5,103,0.319,0.377,0.537,47.4,45.1,8.7,11.2,0.499,14.5,23.8,0.239,2021
New Mexico State NCAA,34,27,7,0.794,7.11,1.24,2464,2197,68.3,105.7,0.341,0.424,0.554,55.1,53.5,7.3,12.2,0.524,17.7,33,0.239,2021
New Orleans,32,18,14,0.563,-7.88,-7.16,2469,2385,74.9,102.2,0.399,0.225,0.544,49.3,46.7,10.5,7.3,0.501,16.8,26.8,0.292,2021
Niagara,30,14,16,0.467,-3.09,-2.98,2022,1965,65.7,101.3,0.277,0.361,0.533,48.7,49.8,8.5,7.5,0.501,14.7,23.2,0.202,2021
Nicholls State,33,21,12,0.636,-3.62,-5.9,2590,2352,72.5,107.5,0.21,0.379,0.542,50.9,44,11.3,10.6,0.531,14.5,31.5,0.131,2021
NJIT,29,11,18,0.379,-14.63,-6.17,1826,2030,67.3,92.4,0.311,0.355,0.496,47.9,44.7,8.9,10.4,0.467,16.8,23,0.205,2021
Norfolk State NCAA,31,24,7,0.774,-3.91,-9.3,2302,1997,70.7,105,0.371,0.356,0.554,53.4,47.4,9.4,11.2,0.522,17.3,30.7,0.259,2021
North Alabama,30,9,21,0.3,-11.33,-3.21,2081,2056,70.6,97.4,0.23,0.413,0.493,48.2,40.4,9.6,9.4,0.46,14.5,27.5,0.173,2021
North Carolina NCAA,39,29,10,0.744,15.5,8.89,3038,2780,70.3,109.7,0.303,0.381,0.551,55.8,54.1,7.3,9.7,0.515,14.2,31.8,0.232,2021
North Carolina A&T,32,12,20,0.375,-9.91,-4.46,2167,2250,68.5,98.1,0.284,0.341,0.503,49.3,48.6,11.3,9.8,0.478,15.9,29.9,0.186,2021
North Carolina Central,31,16,15,0.516,-11.39,-7.47,2256,2120,70.9,101.5,0.363,0.336,0.534,52.3,47.5,12.2,7,0.505,18.8,33.5,0.243,2021
North Dakota,31,6,25,0.194,-16.57,-5.26,2178,2444,69.4,100.9,0.315,0.441,0.519,49.4,50.5,5.7,4.9,0.481,15,26.6,0.231,2021
North Dakota State,33,23,10,0.697,-1.6,-4.66,2469,2267,68.2,108,0.339,0.373,0.566,53.4,42.3,5.6,8.4,0.528,15,25.3,0.258,2021
North Florida,31,11,20,0.355,-8.35,0.08,2124,2206,69.1,98.4,0.298,0.501,0.534,46.2,54.3,8,10.8,0.501,18.5,26.2,0.217,2021
North Texas,32,25,7,0.781,8.98,1.28,2083,1783,60.6,106.5,0.369,0.423,0.543,53.6,48.6,10.7,8,0.518,16,32.3,0.24,2021
Northeastern,31,9,22,0.29,-6,-1.19,1993,2142,65.4,97.5,0.306,0.405,0.536,51.6,49.6,7.1,7.7,0.501,18.9,26.3,0.225,2021
Northern Arizona,32,9,23,0.281,-13.5,-4.1,2161,2347,67.8,98.8,0.281,0.419,0.517,52.2,52.3,6.6,6.9,0.492,17.1,28.6,0.186,2021
Northern Colorado,38,22,16,0.579,-4.53,-3.67,2962,2924,70.7,109.2,0.303,0.462,0.586,50.5,44.5,5.6,7.1,0.563,15.7,22.9,0.215,2021
Northern Illinois,30,9,21,0.3,-10.5,-3.07,1923,2146,68.6,93.1,0.331,0.335,0.505,47.1,48.8,9.1,7.9,0.472,17.7,24.3,0.224,2021
Northern Iowa,32,20,12,0.625,5.79,3.43,2383,2273,67.6,108,0.325,0.436,0.576,50.1,45.8,8.3,4.8,0.537,14.7,21,0.256,2021
Northern Kentucky,32,20,12,0.625,-3.19,-6.19,2237,2083,65.6,104.9,0.259,0.432,0.531,51.9,54.7,13.6,7.4,0.503,16.6,35.3,0.185,2021
Northwestern,31,15,16,0.484,8.91,7.11,2262,2168,68.8,104.4,0.256,0.387,0.523,49.3,59.5,9.3,10.7,0.495,12.3,25.4,0.184,2021
Northwestern State,32,9,23,0.281,-14.06,-3.2,2363,2573,73.2,100.9,0.244,0.338,0.526,48.5,53.7,8.7,8.6,0.503,16.6,29.3,0.169,2021
Notre Dame NCAA,35,24,11,0.686,11.87,7.01,2540,2349,65.9,108.6,0.267,0.423,0.571,50.2,53.8,7.8,4.8,0.543,14.1,22.4,0.201,2021
Oakland,32,20,12,0.625,-1.52,-4.06,2381,2194,69,107.3,0.334,0.415,0.548,49.4,51.9,13,6.9,0.502,15.3,31.4,0.265,2021
Ohio,35,25,10,0.714,1.5,-4.17,2591,2378,69,107.3,0.315,0.452,0.541,49.4,49.1,10.9,7.4,0.507,13.3,27.4,0.23,2021
Ohio State NCAA,32,20,12,0.625,14.17,9.08,2329,2166,65.1,110.9,0.334,0.395,0.578,52,48.8,6.9,12.8,0.543,15.1,29.3,0.253,2021
Oklahoma,35,19,16,0.543,14.12,10.1,2417,2276,66.1,103,0.274,0.413,0.575,51,55.5,11,5.2,0.548,19.7,25.8,0.205,2021
Oklahoma State,30,15,15,0.5,13.28,10.58,2051,1970,68.8,96.9,0.33,0.314,0.51,50.8,50.4,12.1,15.7,0.48,18.4,32.3,0.22,2021
Old Dominion,32,13,19,0.406,-1.32,-0.09,2127,2145,65.7,100.8,0.34,0.265,0.506,52.5,50.3,9.7,10.6,0.473,15.3,32.2,0.229,2021
Omaha,30,5,25,0.167,-16.99,-2.27,2088,2505,71.4,97.4,0.286,0.341,0.525,46.9,43.4,6.7,6.9,0.492,17.1,24.2,0.209,2021
Oral Roberts,31,19,12,0.613,-0.84,-4.49,2582,2306,72.2,114.4,0.232,0.462,0.567,52.8,38.8,7.6,10.2,0.544,11.9,28.4,0.17,2021
Oregon,35,20,15,0.571,10.05,8.05,2532,2440,68.4,105,0.292,0.36,0.536,49.7,45.5,9.9,9.4,0.511,14.8,30,0.198,2021
Oregon State,31,3,28,0.097,-1.44,8.4,2117,2422,67.8,99.1,0.276,0.308,0.521,45.7,47.3,8.7,8.5,0.492,16.1,26.2,0.196,2021
Pacific,30,8,22,0.267,-8.02,0.41,1976,2182,69.5,94.3,0.319,0.335,0.502,48.8,48.3,9.2,7.9,0.468,15.8,22.7,0.219,2021
Penn State,31,14,17,0.452,8.72,9.1,2003,2015,62.8,101.6,0.218,0.426,0.53,53,49.7,8.3,6.2,0.505,16.2,28.6,0.16,2021
Pennsylvania,28,12,16,0.429,-3.93,-0.5,2017,2113,69,103.4,0.242,0.403,0.539,48.8,47.3,7.9,6,0.513,15,25.2,0.176,2021
Pepperdine,32,7,25,0.219,-7.04,3.42,2183,2480,71.7,94.4,0.238,0.352,0.506,47.6,58.4,7.8,6.1,0.478,17.9,26.6,0.171,2021
